US_Metro_Area_Code,US_Metro_Area_Name,Year,Percent_College_Graduates,Percent_White,Population,Region
3283,"Hartford, CT",1970,0.129624888,0.936446369,945674,1
3283,"Hartford, CT",1980,0.203278437,0.900442004,1051586,1
3283,"Hartford, CT",1990,0.264755398,0.863153875,1123678,1
3283,"Hartford, CT",2000,0.305482715,0.815084755,1148618,1
3285,"Hattiesburg, MS",1970,,,0,3
3285,"Hattiesburg, MS",1980,0.166505575,0.766838431,89778,3
3285,"Hattiesburg, MS",1990,0.20146893,0.742257297,98738,3
3285,"Hattiesburg, MS",2000,0.242975786,0.719102025,111674,3
3290,"Hickory-Morganton-Lenoir, NC",1970,0.072601236,0.901611388,151237,3
3290,"Hickory-Morganton-Lenoir, NC",1980,0.103178948,0.912678421,177658,3
3290,"Hickory-Morganton-Lenoir, NC",1990,0.121715516,0.910960376,221699,3
3290,"Hickory-Morganton-Lenoir, NC",2000,0.145954296,0.866837323,264436,3
3350,"Houma, LA",1970,,,0,3
3350,"Houma, LA",1980,0.09725254,0.83767724,176773,3
3350,"Houma, LA",1990,0.097000755,0.809688151,182842,3
3350,"Houma, LA",2000,0.123025797,0.7913481,194477,3
3360,"Houston, TX (P)",1970,0.138613179,0.799131989,1998890,3
3360,"Houston, TX (P)",1980,0.219802827,0.729010522,2904476,3
3360,"Houston, TX (P)",1990,0.245139658,0.671552777,3493772,3
3360,"Houston, TX (P)",2000,0.268258512,0.635659754,4393382,3
3400,"Huntington-Ashland, WV-KY-OH",1970,0.071179561,0.974384367,286934,3
3400,"Huntington-Ashland, WV-KY-OH",1980,0.101110086,0.972737968,311294,3
3400,"Huntington-Ashland, WV-KY-OH",1990,0.125674918,0.973538458,312529,3
3400,"Huntington-Ashland, WV-KY-OH",2000,0.143801168,0.96430856,315538,3
3440,"Huntsville, AL",1970,0.187573239,0.847631335,186541,3
3440,"Huntsville, AL",1980,0.213542193,0.787384629,196897,3
3440,"Huntsville, AL",1990,0.301233113,0.773088932,238913,3
3440,"Huntsville, AL",2000,0.34267056,0.73059994,276700,3
3480,"Indianapolis, IN",1970,0.099933431,0.881495535,1246569,2
3480,"Indianapolis, IN",1980,0.15320608,0.863340378,1305749,2
3480,"Indianapolis, IN",1990,0.202012643,0.855872273,1380491,2
3480,"Indianapolis, IN",2000,0.258345097,0.825077176,1607486,2
3500,"Iowa City, IA",1970,,,0,2
3500,"Iowa City, IA",1980,0.385531306,0.960779727,81650,2
3500,"Iowa City, IA",1990,0.439862013,0.934622705,96119,2
3500,"Iowa City, IA",2000,0.475985944,0.908158123,111006,2
3520,"Jackson, MI",1970,0.076308899,0.938334525,143273,2
3520,"Jackson, MI",1980,0.122191221,0.913409114,151494,2
3520,"Jackson, MI",1990,0.129232362,0.905799448,149756,2
3520,"Jackson, MI",2000,0.16258581,0.894061446,158422,2
3560,"Jackson, MS",1970,0.13950485,0.626815319,258904,3
3560,"Jackson, MS",1980,0.20791176,0.582836628,361868,3
3560,"Jackson, MS",1990,0.250760883,0.568782747,395396,3
3560,"Jackson, MS",2000,0.280997992,0.528955221,440801,3
3580,"Jackson, TN",1970,0.083225548,0.688099086,65726,3
3580,"Jackson, TN",1980,0.127647758,0.69728756,74522,3
3580,"Jackson, TN",1990,0.165635526,0.685200632,77983,3
3580,"Jackson, TN",2000,0.215186611,0.654942989,91837,3
3600,"Jacksonville, FL",1970,0.089014105,0.76787442,519094,3
3600,"Jacksonville, FL",1980,0.140758395,0.768490314,719989,3
3600,"Jacksonville, FL",1990,0.185752437,0.774166286,906728,3
3600,"Jacksonville, FL",2000,0.228700072,0.734088719,1100491,3
3605,"Jacksonville, NC",1970,,,0,3
3605,"Jacksonville, NC",1980,0.113751739,0.754750252,112738,3
3605,"Jacksonville, NC",1990,0.134241462,0.745591938,149838,3
3605,"Jacksonville, NC",2000,0.147716701,0.734401941,150355,3
3610,"Jamestown, NY",1970,,,0,1
3610,"Jamestown, NY",1980,0.118358292,0.971631765,146913,1
3610,"Jamestown, NY",1990,0.142059132,0.960259318,141895,1
3610,"Jamestown, NY",2000,0.169415191,0.945974946,139750,1
3620,"Janesville-Beloit, WI",1970,0.102769628,0.986190677,54818,2
3620,"Janesville-Beloit, WI",1980,0.123823062,0.957280159,139383,2
3620,"Janesville-Beloit, WI",1990,0.133038878,0.937767923,139510,2
3620,"Janesville-Beloit, WI",2000,0.166842163,0.917062283,152307,2
3660,"Johnson City-Kingsport-Bristol, TN-VA",1970,0.06721662,0.937564552,17426,3
3660,"Johnson City-Kingsport-Bristol, TN-VA",1980,0.110992998,0.975048244,433511,3
3660,"Johnson City-Kingsport-Bristol, TN-VA",1990,0.137843385,0.974376619,436047,3
3660,"Johnson City-Kingsport-Bristol, TN-VA",2000,0.166031867,0.965889812,480091,3
3680,"Johnstown, PA",1970,0.05085947,0.985385597,262823,1
3680,"Johnstown, PA",1980,0.082260862,0.983966291,264505,1
3680,"Johnstown, PA",1990,0.101979658,0.980679572,241247,1
3680,"Johnstown, PA",2000,0.127113849,0.964852691,232621,1
3700,"Jonesboro, AR",1970,,,0,3
3700,"Jonesboro, AR",1980,,,0,3
3700,"Jonesboro, AR",1990,0.163664922,0.9332183,68956,3
3700,"Jonesboro, AR",2000,0.209443077,0.899790645,82148,3
3710,"Joplin, MO",1970,,,0,2
3710,"Joplin, MO",1980,0.104965612,0.97800225,127320,2
3710,"Joplin, MO",1990,0.129844919,0.96374619,134910,2
3710,"Joplin, MO",2000,0.163677469,0.945335031,157322,2
3720,,1970,0.117571123,0.932919562,343513,2
3720,,1980,0.183837801,0.901580811,353860,2
3720,,1990,0.21917066,0.880044937,359393,2
3720,,2000,0.253593713,0.853056908,376588,2
3740,"Kankakee, IL (P)",1970,,,0,2
3740,"Kankakee, IL (P)",1980,0.106050648,0.844898283,102821,2
3740,"Kankakee, IL (P)",1990,0.119475089,0.835187793,96255,2
3740,"Kankakee, IL (P)",2000,0.149596021,0.804965675,103833,2
3760,"Kansas City, MO-KS",1970,0.115845472,0.876478612,1302851,2
3760,"Kansas City, MO-KS",1980,0.181800291,0.849326134,1381353,2
3760,"Kansas City, MO-KS",1990,0.233654618,0.843833089,1566279,2
3760,"Kansas City, MO-KS",2000,0.286552578,0.816586912,1757083,2
3800,"Kenosha, WI (P)",1970,0.068168223,0.976822674,117917,2
3800,"Kenosha, WI (P)",1980,0.107283928,0.956893563,123123,2
3800,"Kenosha, WI (P)",1990,0.126865849,0.93059814,128181,2
3800,"Kenosha, WI (P)",2000,0.191986367,0.894201636,149577,2
3810,"Killeen-Temple, TX",1970,,,0,3
3810,"Killeen-Temple, TX",1980,0.149619073,0.743060052,214700,3
3810,"Killeen-Temple, TX",1990,0.157114908,0.709888041,255429,3
3810,"Killeen-Temple, TX",2000,0.180698022,0.653045833,312952,3
3840,"Knoxville, TN",1970,0.112930216,0.928860307,400339,3
